"WeekDay","Hour","N_Indiv_Resid","TotalCollectiveHourlyTally"
"Friday","00",1,2
"Friday","01",1,3
"Friday","02",25,48
"Friday","03",59,150
"Friday","04",44,101
"Friday","05",30,63
"Friday","06",38,95
"Friday","07",23,72
"Friday","08",53,156
"Friday","09",17,34
"Friday","10",20,43
"Friday","11",32,46
"Friday","12",10,17
"Friday","13",0,0
"Friday","14",8,16
"Friday","15",9,17
"Friday","16",8,28
"Friday","17",0,0
"Friday","18",2,6
"Friday","19",1,1
"Friday","20",0,0
"Friday","21",1,7
"Friday","22",1,4
"Friday","23",2,3
"Monday","00",0,0
"Monday","01",14,24
"Monday","02",24,70
"Monday","03",42,106
"Monday","04",57,183
"Monday","05",47,114
"Monday","06",40,100
"Monday","07",46,135
"Monday","08",61,155
"Monday","09",11,18
"Monday","10",13,32
"Monday","11",28,62
"Monday","12",18,39
"Monday","13",2,4
"Monday","14",3,5
"Monday","15",8,23
"Monday","16",10,22
"Monday","17",1,3
"Monday","18",1,1
"Monday","19",0,0
"Monday","20",1,1
"Monday","21",1,9
"Monday","22",0,0
"Monday","23",0,0
"Saturday","00",0,0
"Saturday","01",2,2
"Saturday","02",20,43
"Saturday","03",60,137
"Saturday","04",48,87
"Saturday","05",33,80
"Saturday","06",30,68
"Saturday","07",49,146
"Saturday","08",71,200
"Saturday","09",13,31
"Saturday","10",6,12
"Saturday","11",21,58
"Saturday","12",17,31
"Saturday","13",9,23
"Saturday","14",8,32
"Saturday","15",10,27
"Saturday","16",10,35
"Saturday","17",3,18
"Saturday","18",1,3
"Saturday","19",0,0
"Saturday","20",0,0
"Saturday","21",0,0
"Saturday","22",1,2
"Saturday","23",1,1
"Sunday","00",0,0
"Sunday","01",6,14
"Sunday","02",17,45
"Sunday","03",56,143
"Sunday","04",44,112
"Sunday","05",58,158
"Sunday","06",34,97
"Sunday","07",21,30
"Sunday","08",49,133
"Sunday","09",26,83
"Sunday","10",16,49
"Sunday","11",14,43
"Sunday","12",14,36
"Sunday","13",7,26
"Sunday","14",16,62
"Sunday","15",12,53
"Sunday","16",17,76
"Sunday","17",1,2
"Sunday","18",2,3
"Sunday","19",0,0
"Sunday","20",0,0
"Sunday","21",0,0
"Sunday","22",0,0
"Sunday","23",0,0
"Thursday","00",0,0
"Thursday","01",10,26
"Thursday","02",13,36
"Thursday","03",80,196
"Thursday","04",76,215
"Thursday","05",44,124
"Thursday","06",47,100
"Thursday","07",39,97
"Thursday","08",89,212
"Thursday","09",28,57
"Thursday","10",24,49
"Thursday","11",19,42
"Thursday","12",22,57
"Thursday","13",18,35
"Thursday","14",15,37
"Thursday","15",25,90
"Thursday","16",6,9
"Thursday","17",0,0
"Thursday","18",1,5
"Thursday","19",1,5
"Thursday","20",0,0
"Thursday","21",0,0
"Thursday","22",0,0
"Thursday","23",0,0
"Tuesday","00",0,0
"Tuesday","01",4,10
"Tuesday","02",23,52
"Tuesday","03",56,127
"Tuesday","04",69,154
"Tuesday","05",47,133
"Tuesday","06",32,78
"Tuesday","07",39,117
"Tuesday","08",84,254
"Tuesday","09",15,37
"Tuesday","10",35,70
"Tuesday","11",37,99
"Tuesday","12",5,17
"Tuesday","13",17,45
"Tuesday","14",7,16
"Tuesday","15",6,20
"Tuesday","16",10,23
"Tuesday","17",0,0
"Tuesday","18",1,1
"Tuesday","19",0,0
"Tuesday","20",0,0
"Tuesday","21",0,0
"Tuesday","22",0,0
"Tuesday","23",1,1
"Wednesday","00",1,2
"Wednesday","01",8,31
"Wednesday","02",15,40
"Wednesday","03",65,178
"Wednesday","04",57,169
"Wednesday","05",54,183
"Wednesday","06",54,127
"Wednesday","07",25,76
"Wednesday","08",76,227
"Wednesday","09",20,36
"Wednesday","10",43,122
"Wednesday","11",34,80
"Wednesday","12",15,52
"Wednesday","13",8,15
"Wednesday","14",11,39
"Wednesday","15",5,21
"Wednesday","16",22,60
"Wednesday","17",1,1
"Wednesday","18",0,0
"Wednesday","19",0,0
"Wednesday","20",0,0
"Wednesday","21",0,0
"Wednesday","22",1,4
"Wednesday","23",0,0
