WeekDay,Hour,N_Indiv_Resid,TotalCollectiveHourlyTally
Friday,0,3,6
Friday,1,33,51
Friday,2,18,24
Friday,3,30,44
Friday,4,44,78
Friday,5,41,64
Friday,6,28,45
Friday,7,27,44
Friday,8,50,84
Friday,9,8,12
Friday,10,17,31
Friday,11,23,45
Friday,12,16,49
Friday,13,34,103
Friday,14,12,22
Friday,15,13,40
Friday,16,18,58
Friday,17,1,3
Friday,18,2,11
Friday,19,2,3
Friday,20,3,14
Friday,21,5,18
Friday,22,1,2
Friday,23,4,11
Monday,0,0,0
Monday,1,7,7
Monday,2,39,69
Monday,3,38,50
Monday,4,46,64
Monday,5,35,53
Monday,6,31,54
Monday,7,15,25
Monday,8,50,80
Monday,9,10,13
Monday,10,7,8
Monday,11,12,21
Monday,12,8,14
Monday,13,12,23
Monday,14,13,24
Monday,15,10,20
Monday,16,6,11
Monday,17,0,0
Monday,18,0,0
Monday,19,2,6
Monday,20,0,0
Monday,21,0,0
Monday,22,0,0
Monday,23,0,0
Saturday,0,1,5
Saturday,1,11,11
Saturday,2,8,12
Saturday,3,39,84
Saturday,4,33,54
Saturday,5,32,60
Saturday,6,34,94
Saturday,7,11,24
Saturday,8,28,48
Saturday,9,13,41
Saturday,10,7,14
Saturday,11,7,17
Saturday,12,6,9
Saturday,13,20,37
Saturday,14,2,3
Saturday,15,9,15
Saturday,16,7,23
Saturday,17,0,0
Saturday,18,3,13
Saturday,19,2,3
Saturday,20,1,2
Saturday,21,1,1
Saturday,22,0,0
Saturday,23,0,0
Sunday,0,0,0
Sunday,1,13,23
Sunday,2,14,25
Sunday,3,38,84
Sunday,4,52,112
Sunday,5,33,59
Sunday,6,28,47
Sunday,7,19,48
Sunday,8,35,68
Sunday,9,9,31
Sunday,10,18,38
Sunday,11,24,40
Sunday,12,20,80
Sunday,13,25,54
Sunday,14,28,113
Sunday,15,12,34
Sunday,16,21,76
Sunday,17,0,0
Sunday,18,0,0
Sunday,19,1,1
Sunday,20,0,0
Sunday,21,0,0
Sunday,22,0,0
Sunday,23,1,1
Thursday,0,0,0
Thursday,1,23,27
Thursday,2,14,25
Thursday,3,33,55
Thursday,4,46,68
Thursday,5,31,52
Thursday,6,28,37
Thursday,7,15,24
Thursday,8,34,48
Thursday,9,5,8
Thursday,10,23,54
Thursday,11,20,46
Thursday,12,12,26
Thursday,13,19,49
Thursday,14,11,17
Thursday,15,8,21
Thursday,16,3,11
Thursday,17,1,2
Thursday,18,1,3
Thursday,19,2,3
Thursday,20,0,0
Thursday,21,1,2
Thursday,22,0,0
Thursday,23,1,1
Tuesday,0,0,0
Tuesday,1,18,27
Tuesday,2,19,35
Tuesday,3,37,65
Tuesday,4,35,56
Tuesday,5,41,63
Tuesday,6,39,54
Tuesday,7,11,17
Tuesday,8,36,77
Tuesday,9,20,38
Tuesday,10,22,48
Tuesday,11,14,29
Tuesday,12,7,11
Tuesday,13,21,50
Tuesday,14,11,28
Tuesday,15,9,27
Tuesday,16,3,3
Tuesday,17,1,3
Tuesday,18,1,3
Tuesday,19,1,2
Tuesday,20,0,0
Tuesday,21,1,4
Tuesday,22,2,2
Tuesday,23,0,0
Wednesday,0,0,0
Wednesday,1,11,23
Wednesday,2,23,53
Wednesday,3,20,44
Wednesday,4,38,57
Wednesday,5,28,38
Wednesday,6,24,41
Wednesday,7,14,35
Wednesday,8,40,80
Wednesday,9,7,15
Wednesday,10,9,25
Wednesday,11,21,48
Wednesday,12,12,21
Wednesday,13,19,62
Wednesday,14,6,11
Wednesday,15,10,16
Wednesday,16,10,29
Wednesday,17,2,5
Wednesday,18,1,3
Wednesday,19,0,0
Wednesday,20,1,1
Wednesday,21,0,0
Wednesday,22,1,1
Wednesday,23,1,4
